epoch,accuracy,loss,val_accuracy,val_loss
0,0.47882646322250366,1.176124930381775,0.5417867302894592,1.1890077590942383
1,0.6479380130767822,0.8524959087371826,0.5648415088653564,1.1295479536056519
2,0.7373374104499817,0.6804726719856262,0.5475504398345947,1.208655834197998
3,0.7846664786338806,0.5678307414054871,0.590778112411499,1.1675114631652832
4,0.8308884501457214,0.4546104073524475,0.5648415088653564,1.3413101434707642
5,0.8544146418571472,0.38365769386291504,0.5763688683509827,1.376460075378418
6,0.8685303330421448,0.3571579158306122,0.5648415088653564,1.4779729843139648
7,0.9075560569763184,0.2646230459213257,0.5936599373817444,1.5811176300048828
8,0.9175200462341309,0.23500944674015045,0.5677233338356018,1.6450072526931763
9,0.92637699842453,0.21333451569080353,0.5561959743499756,1.7065716981887817
10,0.950179934501648,0.15580172836780548,0.5504322648048401,1.8127124309539795
11,0.9537780284881592,0.13898548483848572,0.5850144028663635,1.964127540588379
12,0.9515637755393982,0.14475326240062714,0.559077799320221,1.9520530700683594
13,0.9618045687675476,0.1205119714140892,0.5734870433807373,2.144296169281006
14,0.9665098190307617,0.10631969571113586,0.559077799320221,2.1715784072875977
15,0.9582064747810364,0.1251407265663147,0.5821325778961182,2.112813711166382
16,0.9598671197891235,0.11485260725021362,0.579250693321228,2.139162540435791
17,0.9695543646812439,0.09538305550813675,0.579250693321228,2.4634335041046143
18,0.9593135714530945,0.11777175217866898,0.530259370803833,2.358147144317627
19,0.9609742760658264,0.10552062094211578,0.579250693321228,2.2174274921417236
20,0.9684472680091858,0.09097008407115936,0.5648415088653564,2.4225239753723145
21,0.9695543646812439,0.08364611864089966,0.579250693321228,2.2649052143096924
22,0.977027416229248,0.07111958414316177,0.579250693321228,2.3233721256256104
23,0.9784113168716431,0.06766431778669357,0.5734870433807373,2.511444568634033
24,0.9775809645652771,0.06880195438861847,0.5504322648048401,2.747436285018921
