epoch,accuracy,loss,val_accuracy,val_loss
0,0.37973982095718384,1.3257167339324951,0.5014409422874451,1.260711669921875
1,0.6518129110336304,0.985869288444519,0.6599423885345459,0.9135794043540955
2,0.7910323739051819,0.5891340374946594,0.7175792455673218,0.7701170444488525
3,0.8466648459434509,0.41953030228614807,0.7060518860816956,0.7982686161994934
4,0.8762801289558411,0.34142404794692993,0.7002881765365601,0.8339135646820068
5,0.9100470542907715,0.27287325263023376,0.6945244669914246,0.8560881614685059
6,0.9261001944541931,0.23129452764987946,0.6887608170509338,0.927830159664154
7,0.9396623373031616,0.1945326179265976,0.7060518860816956,0.9797929525375366
8,0.951287031173706,0.1650974154472351,0.6887608170509338,1.0647732019424438
9,0.9584832787513733,0.1371246725320816,0.6772334575653076,1.0998363494873047
10,0.9642956256866455,0.12378313392400742,0.6916426420211792,1.1626932621002197
11,0.9651259183883667,0.11701469868421555,0.6743515729904175,1.1990464925765991
12,0.9712150692939758,0.1038861870765686,0.6628242135047913,1.3170080184936523
13,0.9709382653236389,0.09441610425710678,0.6858789920806885,1.347772479057312
14,0.9723221659660339,0.09044738113880157,0.6772334575653076,1.3443940877914429
15,0.9745364189147949,0.08430194854736328,0.6714697480201721,1.4105839729309082
16,0.9745364189147949,0.0829724371433258,0.6829971075057983,1.402941107749939
17,0.9753667116165161,0.08245930075645447,0.6685879230499268,1.4339731931686401
18,0.975643515586853,0.07238312810659409,0.6714697480201721,1.4573897123336792
19,0.9784113168716431,0.06570443511009216,0.6570605039596558,1.5177613496780396
20,0.975643515586853,0.07105657458305359,0.6455331444740295,1.5652718544006348
21,0.976473867893219,0.07382569462060928,0.6829971075057983,1.4975459575653076
22,0.9775809645652771,0.0663144439458847,0.6599423885345459,1.592370629310608
23,0.9778577089309692,0.06330553442239761,0.6829971075057983,1.4972103834152222
24,0.9781345129013062,0.05733092129230499,0.6541786789894104,1.6879708766937256
